[00:39:29.531] [info] [Node 0] starting on 127.0.0.1:50050
[00:39:31.408] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.437] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.438] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.468] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.468] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.498] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.498] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.528] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.528] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.558] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.558] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.588] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.589] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.618] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.619] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.649] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.649] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.679] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.679] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.709] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.709] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.739] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.741] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.769] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.769] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.799] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.800] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.830] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.830] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.860] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.860] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.890] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.890] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.920] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.920] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.950] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:31.950] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.980] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:31.981] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.010] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.011] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.041] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.041] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.071] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.071] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.101] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.101] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.131] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.131] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.161] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.162] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.192] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.192] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.222] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.222] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.252] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.252] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.282] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.282] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.312] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.313] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.342] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.343] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.372] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.373] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.403] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.403] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.433] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.433] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.463] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.463] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.493] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.493] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.523] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=0
[00:39:32.523] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=0
[00:39:32.554] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=1
[00:39:32.554] [debug] [Node 0] [term=1] [Leader] commitIndex advanced to 1
[00:39:32.554] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=1
[00:39:32.559] [debug] [Node 0] [KvStore] applied Put key=demo_key at index=1
[00:39:32.584] [debug] [Node 0] [term=1] [Leader] replicated to Node 1, matchIndex=2
[00:39:32.584] [debug] [Node 0] [term=1] [Leader] commitIndex advanced to 2
[00:39:32.585] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=2
[00:39:32.590] [debug] [Node 0] [KvStore] applied Put key=city at index=2
[00:39:32.614] [debug] [Node 0] [term=1] [Leader] replicated to Node 2, matchIndex=3
